Date,Open,High,Low,Close,Adj Close,Volume
2024-08-19,22099.34,22207.77,22070.31,22130.63,22125.57,2688472
2024-08-20,21972.35,22034.85,21890.01,21929.49,21921.21,1269708
2024-08-21,22129.54,22226.13,22055.21,22075.99,22080.11,2731281
2024-08-22,22304.61,22372.47,22214.46,22328.73,22329.1,1638112
2024-08-23,21953.17,21988.88,21878.57,21942.0,21935.55,2011727
2024-08-26,21953.17,22077.05,21882.05,21988.87,21982.4,1254444
2024-08-27,22315.84,22369.63,22234.82,22339.5,22337.83,1603561
2024-08-28,22153.49,22250.18,22094.99,22149.85,22158.19,1861291
2024-08-29,21906.11,21917.2,21845.94,21863.77,21862.47,1211837
2024-08-30,22108.51,22205.8,21974.43,22032.77,22025.25,1110017
2024-09-02,21907.32,21921.2,21822.18,21884.99,21883.76,1123618
2024-09-03,21906.85,22039.88,21829.76,21949.67,21948.31,1459297
2024-09-04,22048.39,22116.59,21999.54,22059.1,22045.61,2173917
2024-09-05,21617.34,21716.71,21533.57,21555.06,21554.79,2020154
2024-09-06,21655.02,21680.32,21619.48,21663.68,21662.52,1815862
2024-09-09,21887.54,21966.66,21844.87,21906.81,21910.29,2779468
2024-09-10,21797.43,21894.67,21685.11,21753.24,21762.49,1552076
2024-09-11,22062.85,22127.61,22001.48,22070.54,22076.17,1750865
2024-09-12,21818.4,21887.95,21776.35,21821.31,21819.96,1441759
2024-09-13,21717.54,21790.16,21561.6,21660.39,21654.86,2979999
2024-09-16,22293.13,22361.93,22228.61,22311.02,22323.89,2904354
2024-09-17,21954.84,22049.36,21923.49,21982.88,21983.18,1882554
2024-09-18,22013.51,22130.25,21994.35,22067.66,22067.73,2612838
2024-09-19,21715.05,21858.84,21691.29,21767.74,21767.62,1893741
2024-09-20,21891.12,21905.21,21790.1,21822.24,21823.23,1540659
2024-09-23,22022.18,22057.47,21950.83,21975.29,21974.57,2880092
2024-09-24,21769.8,21891.09,21743.01,21795.55,21792.68,1422845
2024-09-25,22075.14,22190.95,22039.48,22100.83,22098.09,1706544
2024-09-26,21879.87,21956.63,21854.27,21905.62,21905.46,1324060
2024-09-27,21941.66,22200.11,21850.95,22134.3,22131.58,2646836
2024-09-30,21879.66,21943.17,21862.44,21908.2,21904.64,2241835
2024-10-01,22370.46,22454.16,22313.25,22427.23,22427.77,1275128
2024-10-02,21997.3,22096.73,21950.36,22045.0,22043.73,1819471
2024-10-03,21788.46,21862.83,21690.04,21821.03,21828.55,1609719
2024-10-04,22164.51,22227.04,22128.66,22148.75,22135.49,1870123
2024-10-07,21755.83,21810.78,21710.02,21793.78,21799.24,1845038
2024-10-08,22041.77,22139.47,21905.88,22003.13,22009.36,2452408
